Date,Price
"Feb 09, 2018",0.50%
"Feb 08, 2018",0.50%
"Feb 07, 2018",0.50%
"Feb 06, 2018",0.50%
"Feb 05, 2018",0.50%
"Feb 02, 2018",0.50%
"Feb 01, 2018",0.50%
"Jan 31, 2018",0.50%
"Jan 30, 2018",0.50%
"Jan 29, 2018",0.50%
"Jan 26, 2018",0.50%
"Jan 25, 2018",0.50%
"Jan 24, 2018",0.50%
"Jan 23, 2018",0.50%
"Jan 22, 2018",0.50%
"Jan 19, 2018",0.50%
"Jan 18, 2018",0.50%
"Jan 17, 2018",0.50%
"Jan 16, 2018",0.50%
"Jan 15, 2018",0.50%
"Jan 12, 2018",0.50%
"Jan 11, 2018",0.50%
"Jan 10, 2018",0.50%
"Jan 09, 2018",0.50%
"Jan 08, 2018",0.50%
"Jan 05, 2018",0.50%
"Jan 04, 2018",0.50%
"Jan 03, 2018",0.50%
"Jan 02, 2018",0.50%
"Jan 01, 2018",0.50%
"Dec 29, 2017",0.50%
"Dec 28, 2017",0.50%
"Dec 27, 2017",0.50%
"Dec 26, 2017",0.50%
"Dec 25, 2017",0.50%
"Dec 22, 2017",0.50%
"Dec 21, 2017",0.50%
"Dec 20, 2017",0.50%
"Dec 19, 2017",0.50%
"Dec 18, 2017",0.50%
"Dec 15, 2017",0.50%
"Dec 14, 2017",0.50%
"Dec 13, 2017",0.50%
"Dec 12, 2017",0.50%
"Dec 11, 2017",0.50%
"Dec 08, 2017",0.50%
"Dec 07, 2017",0.50%
"Dec 06, 2017",0.50%
"Dec 05, 2017",0.50%
"Dec 04, 2017",0.50%
"Dec 01, 2017",0.50%
"Nov 30, 2017",0.50%
"Nov 29, 2017",0.50%
"Nov 28, 2017",0.50%
"Nov 27, 2017",0.50%
"Nov 24, 2017",0.50%
"Nov 23, 2017",0.50%
"Nov 22, 2017",0.50%
"Nov 21, 2017",0.50%
"Nov 20, 2017",0.50%
"Nov 17, 2017",0.50%
"Nov 16, 2017",0.50%
"Nov 15, 2017",0.50%
"Nov 14, 2017",0.50%
"Nov 13, 2017",0.50%
"Nov 10, 2017",0.50%
"Nov 09, 2017",0.50%
"Nov 08, 2017",0.50%
"Nov 07, 2017",0.50%
"Nov 06, 2017",0.50%
"Nov 03, 2017",0.50%
"Nov 02, 2017",0.50%
"Nov 01, 2017",0.25%
"Oct 31, 2017",0.25%
"Oct 30, 2017",0.25%
"Oct 27, 2017",0.25%
"Oct 26, 2017",0.25%
"Oct 25, 2017",0.25%
"Oct 24, 2017",0.25%
"Oct 23, 2017",0.25%
"Oct 20, 2017",0.25%
"Oct 19, 2017",0.25%
"Oct 18, 2017",0.25%
"Oct 17, 2017",0.25%
"Oct 16, 2017",0.25%
"Oct 13, 2017",0.25%
"Oct 12, 2017",0.25%
"Oct 11, 2017",0.25%
"Oct 10, 2017",0.25%
"Oct 09, 2017",0.25%
"Oct 06, 2017",0.25%
"Oct 05, 2017",0.25%
"Oct 04, 2017",0.25%
"Oct 03, 2017",0.25%
"Oct 02, 2017",0.25%
"Sep 29, 2017",0.25%
"Sep 28, 2017",0.25%
"Sep 27, 2017",0.25%
"Sep 26, 2017",0.25%
"Sep 25, 2017",0.25%
"Sep 22, 2017",0.25%
"Sep 21, 2017",0.25%
"Sep 20, 2017",0.25%
"Sep 19, 2017",0.25%
"Sep 18, 2017",0.25%
"Sep 15, 2017",0.25%
"Sep 14, 2017",0.25%
"Sep 13, 2017",0.25%
"Sep 12, 2017",0.25%
"Sep 11, 2017",0.25%
"Sep 08, 2017",0.25%
"Sep 07, 2017",0.25%
"Sep 06, 2017",0.25%
"Sep 05, 2017",0.25%
"Sep 04, 2017",0.25%
"Sep 01, 2017",0.25%
"Aug 31, 2017",0.25%
"Aug 30, 2017",0.25%
"Aug 29, 2017",0.25%
"Aug 28, 2017",0.25%
"Aug 25, 2017",0.25%
"Aug 24, 2017",0.25%
"Aug 23, 2017",0.25%
"Aug 22, 2017",0.25%
"Aug 21, 2017",0.25%
"Aug 18, 2017",0.25%
"Aug 17, 2017",0.25%
"Aug 16, 2017",0.25%
"Aug 15, 2017",0.25%
"Aug 14, 2017",0.25%
"Aug 11, 2017",0.25%
"Aug 10, 2017",0.25%
"Aug 09, 2017",0.25%
"Aug 08, 2017",0.25%
"Aug 07, 2017",0.25%
"Aug 04, 2017",0.25%
"Aug 03, 2017",0.25%
"Aug 02, 2017",0.25%
"Aug 01, 2017",0.25%
"Jul 31, 2017",0.25%
"Jul 28, 2017",0.25%
"Jul 27, 2017",0.25%
"Jul 26, 2017",0.25%
"Jul 25, 2017",0.25%
"Jul 24, 2017",0.25%
"Jul 21, 2017",0.25%
"Jul 20, 2017",0.25%
"Jul 19, 2017",0.25%
"Jul 18, 2017",0.25%
"Jul 17, 2017",0.25%
"Jul 14, 2017",0.25%
"Jul 13, 2017",0.25%
"Jul 12, 2017",0.25%
"Jul 11, 2017",0.25%
"Jul 10, 2017",0.25%
